"Gene"	"X3UTR"	"X5UTR"	"CDS"	"promCore"
"CDH17"	0.685620612267718	0.465655153912928	0.573725150599101	0.752921460346789
"CDH18"	0.0193342210119602	0.266162560321699	0.762186218645246	0.541536067342999
"CDH2"	0.0017936709943203	0.464702286744159	0.0283036796418721	0.755159041215536
"CDH24"	NA	0.350653016177415	0.327271623687088	0.608975073113731
"CDH4"	0.658029334019164	0.148873335312056	0.284119906786802	0.701501595444463
"CDH6"	0.357343458456735	0.446005435973365	0.734772713521689	0.629040741223372
"CDH9"	0.36730721545472	0.415164177968085	0.111956536258273	0.56388603051261
"CDK11A"	NA	0.488333393909389	0.90673470678564	1
"CDK11B"	NA	0.0351918545491038	0.611382799478873	0.725258681577321
"CDK12"	0.536692830193548	0.34114740102601	1.4587065705534e-06	0.449245571696803
"CDK7"	0.253592788842776	0.427615849359678	0.850363655179772	0.907093222382107
"CDK8"	0.197887726996993	0.336869579593868	0.0978588217055453	0.977030721462434
"CDKN1A"	0.831238263951527	0.043620863053166	3.77553831114584e-07	0.175933648104525
"CDKN1B"	0.282042189287116	0.196439940720842	5.35347130061464e-06	0.266477362213872
"CDKN2C"	0.617632682390572	0.419970368100609	0.0670388262757028	0.547978649031514
"CDO1"	0.963181302235052	0.0308570702716291	0.620546635948486	0.235602597229992
"CDS1"	0.664281355678451	0.351305652038416	0.537473758306634	0.196957583602538
"CDX2"	0.671819439156689	0.338727758125476	0.0497255332169458	0.616054658265288
"CEACAM18"	0.601340454713372	NA	0.963653003109111	0.917975899146391
"CEACAM8"	0.714834958730309	0.16255786700855	0.779428677104894	0.156475889758234
"CEBPA"	0.25227717892262	0.413725202715123	0.0824541326498692	1
"CELA2A"	NA	0.116363251317278	0.226385332155984	0.722041434692585
"CENPA"	0.810828989774302	0.460472335340894	0.76193140688992	0.944647376760808
"CENPL"	0.983601173004665	0.465280496881833	0.0237019856261245	0.914423394627929
"CENPM"	NA	0.263210419342522	0.949244772387045	0.565736138159512
"CENPN"	0.564122134827655	0.36923685847166	0.297471371157626	0.903352413745303
"CEP135"	0.5647655858345	0.462855079564543	0.548851716329384	1
"CEP152"	0.807883183388358	0.127488057867241	0.638361540371513	0.471294299008472
"CEP192"	0.193283705332095	0.462079747244132	0.623665760900668	0.808379158823685
"CEP72"	NA	0.471968333216733	0.784155347887591	1
